date,medium,path,identifier,category,name,artist,description,accession_number,source,license,depicted_place
1988-05-26,Negatief,https://webservices.picturae.com/mediabank/media/9a03042a-70da-4d9a-8b7d-b6e878f7921d/downloadoriginal/c563ea43-bff8-4f97-b530-c4f131c8c0c1?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a03042a-70da-4d9a-8b7d-b6e878f7921d:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Jan_van_Galenstraat_3,_voorgevel._-_FO1014953_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Jan van Galenstraat 3, voorgevel.}}",FO1014953,View this picture on the website of the [https://hdl.handle.net/21.12106/9a03042a-70da-4d9a-8b7d-b6e878f7921d Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1974-00-00,Dia,https://webservices.picturae.com/mediabank/media/9a055e45-a38a-141a-fc55-b464874df7fb/downloadoriginal/623c868a-01e1-cdd7-0ff4-ff62f2b6d70c?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a055e45-a38a-141a-fc55-b464874df7fb:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Herstel_kademuren_en_Eenhoornbrug,_hoek_Sint_Annastraat_Tussen_ongeveer_de_jaren_1960_en_1990_heeft_-_RAA-DMGA-00319_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Herstel kademuren en Eenhoornbrug, hoek Sint Annastraat Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}}",RAA-DMGA-00319,View this picture on the website of the [https://hdl.handle.net/21.12106/9a055e45-a38a-141a-fc55-b464874df7fb Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1974-06-22,Foto,https://webservices.picturae.com/mediabank/media/9a098c93-ae26-48d4-9dd4-13e43e7e1960/downloadoriginal/3939f661-b315-49ed-99b6-a4d97b50c1da?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a098c93-ae26-48d4-9dd4-13e43e7e1960:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Vanaf_rechts_Keetgracht_2-12,_hoek_Laat_1,_Gaba_N.V._autobanden_en_uitlaten._-_RAA011002138_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Vanaf rechts Keetgracht 2-12, hoek Laat 1, Gaba N.V. autobanden en uitlaten.}}",RAA011002138,View this picture on the website of the [https://hdl.handle.net/21.12106/9a098c93-ae26-48d4-9dd4-13e43e7e1960 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1984-00-00,Dia,https://webservices.picturae.com/mediabank/media/9a11b3c5-85c4-3d6e-0a88-9a85fc729c88/downloadoriginal/7b48a3a8-824e-3437-17a3-1b8ba16909bc?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a11b3c5-85c4-3d6e-0a88-9a85fc729c88:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Bouw_van_nieuw_stadskantoor_Tussen_ongeveer_de_jaren_1960_en_1990_heeft_de_Afdeling_Monumentenzorg_v_-_RAA-DMGA-01014_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Bouw van nieuw stadskantoor Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}},RAA-DMGA-01014,View this picture on the website of the [https://hdl.handle.net/21.12106/9a11b3c5-85c4-3d6e-0a88-9a85fc729c88 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1980-00-00,Dia,https://webservices.picturae.com/mediabank/media/9a15c4ee-c986-0b5d-35f2-923091478e1f/downloadoriginal/a2768180-6cb1-19ab-0c62-ea83da5c49a6?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a15c4ee-c986-0b5d-35f2-923091478e1f:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Hoornse_Vaart_zwembad_in_aanbouw,_achtergrond_molens_aan_Hoornse_Vaart._Vergelijk_afbeelding_FO_1007_-_RAA-DMGA-01820_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Hoornse Vaart zwembad in aanbouw, achtergrond molens aan Hoornse Vaart. Vergelijk afbeelding FO 1007886 Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}}",RAA-DMGA-01820,View this picture on the website of the [https://hdl.handle.net/21.12106/9a15c4ee-c986-0b5d-35f2-923091478e1f Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1984-00-00,Dia,https://webservices.picturae.com/mediabank/media/9a18ffae-9e81-4c1a-3240-a3356fe32012/downloadoriginal/536bd4bc-6d4d-885f-4835-5ef7928f509d?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a18ffae-9e81-4c1a-3240-a3356fe32012:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Detail_pannendak_Tussen_ongeveer_de_jaren_1960_en_1990_heeft_de_Afdeling_Monumentenzorg_van_de_Gemee_-_RAA-DMGA-01191_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Detail pannendak Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}},RAA-DMGA-01191,View this picture on the website of the [https://hdl.handle.net/21.12106/9a18ffae-9e81-4c1a-3240-a3356fe32012 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1974-11-01,Foto,https://webservices.picturae.com/mediabank/media/9a1a2486-038c-4818-bb9c-d1f77f066ef7/downloadoriginal/981358de-6a15-405f-b474-c51d08614856?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a1a2486-038c-4818-bb9c-d1f77f066ef7:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Achterstraat_64._Kroonlijst._-_RAA011000084_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Achterstraat 64. Kroonlijst.}},RAA011000084,View this picture on the website of the [https://hdl.handle.net/21.12106/9a1a2486-038c-4818-bb9c-d1f77f066ef7 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1989-10-00,Foto,https://webservices.picturae.com/mediabank/media/9a23e68b-89ce-4a2d-aa7a-f7df7a070636/downloadoriginal/b3d7292b-11a3-4da3-94de-e7cbf68b1cf7?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a23e68b-89ce-4a2d-aa7a-f7df7a070636:963f7248-a263-11e0-bf4a-bde4fca6c222,Rijksmonumenten in Alkmaar,"Koorstraat_2,_hoek_Kerkplein,_Bagijnenstraat_en_Kerkstraat,_de_Grote-_of_Sint_Laurenskerk._Interieur_-_RAA011003165_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Koorstraat 2, hoek Kerkplein, Bagijnenstraat en Kerkstraat, de Grote- of Sint Laurenskerk. Interieur schip. Schildering op het houten schot boven het Van Hagerbeer/Schnitger orgel. Detail. Rijksmonument. De kerk is gebouwd tussen 1470 en 1518. Allegorische schildering uit 1693 door Romeyn de Hooghe. De gelukzaligen, die de eeuwige zaligheid binnen treden.}} {{Possible Rijksmonument | plaats = Alkmaar | provincie = NH }}",RAA011003165,View this picture on the website of the [https://hdl.handle.net/21.12106/9a23e68b-89ce-4a2d-aa7a-f7df7a070636 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1988-08-31,Negatief,https://webservices.picturae.com/mediabank/media/9a2792bc-a890-460f-919d-24ffb75a2587/downloadoriginal/f698281f-4d74-44db-84d0-598c4f8cd46c?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a2792bc-a890-460f-919d-24ffb75a2587:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Kennemerstraatweg_47_en_49_met_glas_in_lood._Links_Maclaine_Pontstraat._-_FO1015388_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Kennemerstraatweg 47 en 49 met glas in lood. Links Maclaine Pontstraat.}},FO1015388,View this picture on the website of the [https://hdl.handle.net/21.12106/9a2792bc-a890-460f-919d-24ffb75a2587 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
,Dia,https://webservices.picturae.com/mediabank/media/9a27ab20-f945-1ed9-c5d4-27619b803c6b/downloadoriginal/c90d7107-90c5-8463-7c44-7ad5589cb0ef?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a27ab20-f945-1ed9-c5d4-27619b803c6b:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Tussen_ongeveer_de_jaren_1960_en_1990_heeft_de_Afdeling_Monumentenzorg_van_de_Gemeente_Alkmaar_een_u_-_RAA-DMGA-01993_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}},RAA-DMGA-01993,View this picture on the website of the [https://hdl.handle.net/21.12106/9a27ab20-f945-1ed9-c5d4-27619b803c6b Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},
1986-08-12,Negatief,https://webservices.picturae.com/mediabank/media/9a285e8b-98bb-49c1-814d-6fff1bb61032/downloadoriginal/49afb3ed-7709-4a4a-b247-51775d70f219?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:9a285e8b-98bb-49c1-814d-6fff1bb61032:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Blaeustraat_27._Voorgevel_met_tuin_en_tuinafscheiding._-_FO1014340_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Blaeustraat 27. Voorgevel met tuin en tuinafscheiding.}},FO1014340,View this picture on the website of the [https://hdl.handle.net/21.12106/9a285e8b-98bb-49c1-814d-6fff1bb61032 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
